A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
3-Py_Az_HfBr3,0.513624903,7.696969697,0.733374282,0.501962365,15.00081079,1888.228376,2.96,109,1.3,272,284,0.556122449,1.098913489,3.522219003,-1.011764731
3-Py_Az_SnBr3,0.412030896,8.303030303,0.606273509,0.485874803,6.292853089,1835.579512,2.96,115,1.96,272,284,0.586734694,1.077712586,3.44301495,-0.539664874
3-Py_Cs_AgBr3,0.589900497,9.272727273,0.730170645,0.685127121,23.65497857,1628.093321,2.96,94,1.93,272,167,0.479591837,1.013113336,3.838583028,-1.328017873
3-Py_Cs_CaBr3,0.744602122,8.454545455,0.578147164,0.715191316,34.43145164,1625.556782,2.96,100,1,272,167,0.510204082,0.992577255,3.751974212,-1.082324572
3-Py_Cs_CdBr3,0.618838915,9.363636364,0.730170645,0.678421348,23.24027748,1625.874147,2.96,95,1.69,272,167,0.484693878,1.009631847,3.822076519,-0.102376388
3-Py_Cs_HfBr3,0.683338611,8.636363636,0.730170645,0.678421348,26.82663804,1712.75288,2.96,109,1.3,272,167,0.556122449,0.96328809,3.674949356,-2.243293415
3-Py_Cs_InBr3,0.606920722,9.454545455,0.568510703,0.678421348,22.89539026,1629.799376,2.96,104,1.78,272,167,0.530612245,0.979342892,3.710165823,-0.46922556
3-Py_Cs_MnBr3,0.639722186,8.909090909,0.730170645,0.660408588,25.12510136,1637.961339,2.96,83,1.55,272,167,0.423469388,1.053056873,4.080774011,1.590691833
3-Py_Cs_MoBr3,0.571319351,8.818181818,0.730170645,0.666052318,25.76776864,1758.375967,2.96,93,2.16,272,167,0.474489796,1.016618919,3.855949036,5.753182362
3-Py_Cs_PdBr3,0.569075289,9.181818182,0.730170645,0.660408588,23.88739699,1654.761469,2.96,86,2.2,272,167,0.43877551,1.04185414,4.002988802,0.215827194
3-Py_Cs_SnBr3,0.586945695,9.545454545,0.568510703,0.666052318,22.62350999,1627.774834,2.96,115,1.96,272,167,0.586734694,0.944703754,3.657064859,-1.569718249
3-Py_Cs_ZrBr3,0.677714921,8.636363636,0.730170645,0.678421348,27.01339958,1676.934503,2.96,109,1.33,272,167,0.556122449,0.96328809,3.674949356,1.880693221
3-Py_FA_SnBr3,0.435218778,8.896551724,0.589767825,0.485887802,6.262379045,1655.210633,2.96,115,1.96,272,277,0.586734694,1.069754793,3.447915677,-0.831906499
