StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
NH4_AA_CuBr3,170,300,2.96,73,1.9,136.1188364,9.944997993,0.480011401,40.73838963,1.625,1263.701785,0.37244898,1.13294804,4.438422475,0.003515177
IM_Py_PtCl3,303,322,3.16,80,2.28,69.58009497,10.0102841,0.454332838,55.63184496,1.689655172,1859.619571,0.44198895,1.337000753,4.129308707,0.008739783
TriMA_Py_PtCl3,304,322,3.16,80,2.28,69.74517231,10.07136696,0.460264025,55.42197849,1.575757576,1870.41872,0.44198895,1.338355364,4.130530522,0.010789025
NH4_Az_HgBr3,170,284,2.96,102,2,54.69249451,9.313591716,0.447306059,69.62999084,1.6,1455.995645,0.520408163,1.003711975,3.703510643,0.014150572
DiEA_IM_CuBr3,385,303,2.96,73,1.9,123.6856658,8.772924283,0.425824485,36.52362203,1.571428571,1795.037391,0.37244898,1.419470862,4.724786253,0.025493224
GUA_TiZ_CuBr3,280,320,2.96,73,1.9,126.5159705,8.995402503,0.442675807,36.74162542,1.703703704,1507.383655,0.37244898,1.303810273,4.592680793,0.028584553
FA_Cs_CdI3,277,167,2.66,95,1.69,49.56454451,25.7676634,0.623424988,68.61696797,1.764705882,989.612087,0.431818182,0.992194277,4.068900637,0.042401178
HA_HY_AgI3,226,220,2.66,94,1.93,150.468143,10.75744303,0.477579245,68.28194601,1.666666667,427.381904,0.427272727,0.997606064,4.086580893,0.043009399
IM_MA_FeI3,303,238,2.66,78,1.83,61.3781874,12.67980879,0.384977073,59.86226168,1.653846154,1587.164004,0.354545455,1.163878779,4.609231977,0.047216121
3-Py_DiMA_PdCl3,272,296,3.16,86,2.2,67.35058224,9.985745655,0.474056591,32.20140812,1.5625,1795.310858,0.475138122,1.231478102,3.868966503,0.07379834
HA_NH4_FeBr3,226,170,2.96,78,1.83,29.3368564,14.82918615,0.569210676,42.02883765,1.684210526,637.9646926,0.397959184,1.016788583,4.237783406,0.091376976
