StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
3-Py_AA_AgI3,272,300,2.66,94.0,1.93,133.3063479,9.239347716,0.354571584,61.03401667,1.59375,1721.440787,0.427272727,1.139477807,4.074820532,2.196641696
3-Py_AA_BaBr3,272,300,2.96,135.0,0.89,64.93290482,25.23477992,0.613747272,48.78987599,1.46875,1728.244839,0.68877551,1.029684195,3.273845262,1.823160405
3-Py_AA_BaCl3,272,300,3.16,135.0,0.89,64.94551479,25.27404421,0.667175156,39.51985293,1.46875,1737.15953,0.745856354,1.044996414,3.162734151,5.356182189
3-Py_AA_BaI3,272,300,2.66,135.0,0.89,64.89579236,25.20412465,0.553898331,64.69276389,1.46875,1718.37849,0.613636364,1.007876144,3.45162304,6.343766482
3-Py_AA_BeBr3,272,300,2.96,45.0,1.57,64.93290482,25.23477992,0.613747272,48.78987599,1.46875,1728.244839,0.229591837,1.414213562,6.792236888,6.944603755
3-Py_AA_BeCl3,272,300,3.16,45.0,1.57,64.94551479,25.27404421,0.667175156,39.51985293,1.46875,1737.15953,0.248618785,1.461145428,6.458903555,4.547010531
3-Py_AA_BeI3,272,300,2.66,45.0,1.57,64.89579236,25.20412465,0.553898331,64.69276389,1.46875,1718.37849,0.204545455,1.350173703,7.325570222,3.155430038
3-Py_AA_CaBr3,272,300,2.96,100.0,1.0,81.79459317,24.66148973,0.589768506,35.52820359,1.46875,1729.536212,0.510204082,1.151437394,3.68167981,2.563655846
3-Py_AA_CaCl3,272,300,3.16,100.0,1.0,81.80875812,24.70030449,0.644611798,17.27180683,1.46875,1738.549008,0.552486188,1.17515611,3.53167981,2.969678848
3-Py_AA_CaI3,272,300,2.66,100.0,1.0,81.75282566,24.63148562,0.528255413,56.75027368,1.46875,1719.541216,0.454545455,1.118112598,3.92167981,2.147473351
3-Py_AA_CdBr3,272,300,2.96,95.0,1.69,67.87055012,8.17173855,0.461724935,44.07392326,1.59375,1728.82403,0.484693878,1.171221541,3.794748098,5.547559082
3-Py_AA_CdCl3,272,300,3.16,95.0,1.69,67.88478737,8.167624136,0.525593702,32.96436281,1.59375,1737.366017,0.524861878,1.19644517,3.636853361,6.414015064
3-Py_AA_CdI3,272,300,2.66,95.0,1.69,67.82860505,8.202530866,0.389069133,61.53515985,1.59375,1719.441193,0.431818182,1.135860417,4.047379677,7.137241985
3-Py_AA_CoBr3,272,300,2.96,74.5,1.88,68.13148233,11.10624777,0.436080711,36.80819752,1.59375,1748.940754,0.380102041,1.259983248,4.484683849,4.593147293
3-Py_AA_CoCl3,272,300,3.16,74.5,1.88,68.14574727,11.11985883,0.50194412,20.47139415,1.59375,1758.442081,0.41160221,1.292441749,4.283341567,2.723082332
3-Py_AA_CoI3,272,300,2.66,74.5,1.88,68.08945438,11.11229919,0.360925514,57.30091954,1.59375,1738.2932,0.338636364,1.214927101,4.8068315,5.174453852
3-Py_AA_CrBr3,272,300,2.96,80.0,1.66,67.61979641,13.03598768,0.466240101,36.24680015,1.59375,1771.511496,0.408163265,1.234874886,4.256199154,5.878383184
3-Py_AA_CrCl3,272,300,3.16,80.0,1.66,67.63400363,13.05659948,0.529754977,19.17550587,1.59375,1781.258635,0.44198895,1.265206386,4.068699154,3.647286615
3-Py_AA_CrI3,272,300,2.66,80.0,1.66,67.57794117,13.03211934,0.394033228,57.03807544,1.59375,1760.524376,0.363636364,1.192653438,4.556199154,0.973576496
3-Py_AA_CuCl3,272,300,3.16,73.0,1.9,125.8266656,8.956711957,0.499742791,21.39436195,1.59375,1743.572934,0.403314917,1.300074279,4.348522248,1.89446331
3-Py_AA_CuI3,272,300,2.66,73.0,1.9,125.7785463,8.977329056,0.358327112,57.51396671,1.59375,1724.111193,0.331818182,1.221146864,4.882768823,1.346213975
3-Py_AA_FeBr3,272,300,2.96,78.0,1.83,66.58744806,11.92923814,0.442308687,36.54568118,1.59375,1750.929317,0.397959184,1.243888571,4.334889848,3.504863309
3-Py_AA_FeCl3,272,300,3.16,78.0,1.83,66.60148299,11.9461326,0.507695403,19.87981782,1.59375,1760.458582,0.430939227,1.27497632,4.142582155,2.281888769
3-Py_AA_FeI3,272,300,2.66,78.0,1.83,66.54610679,11.93064693,0.367741232,57.17532393,1.59375,1740.243661,0.354545455,1.200657823,4.642582155,3.131566681
3-Py_AA_GaBr3,272,300,2.96,62.0,1.81,64.86714736,6.670202144,0.444907695,37.87752677,1.53125,1734.16684,0.316326531,1.321028948,5.178512954,2.757140623
3-Py_AA_GaCl3,272,300,3.16,62.0,1.81,64.88008669,6.650014216,0.510093088,22.69500405,1.53125,1742.417969,0.342541436,1.358925378,4.93657747,0.567775795
3-Py_AA_GaI3,272,300,2.66,62.0,1.81,64.82905905,6.722907034,0.37059117,57.8464585,1.53125,1725.15664,0.281818182,1.268780253,5.565609729,1.084291967
3-Py_AA_GeBr3,272,300,2.96,73.0,2.01,65.52178633,5.9680522,0.421792892,38.20546931,1.53125,1731.112677,0.37244898,1.267009177,4.5540017,1.978901774
